generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,massive,23,hybrid,test,eligible,release_revalidation_previously_seen,360,0.95,18,11,0.4111111111111111,0.4111111111111111,0.6833333333333333,0.5133671742808797,0.271033846190887,0.5369483992202404,0.4181286549707602,0.4181286549707602,0.7192982456140351,0.5288413836648176,0.2816504046428917,0.5567506005489107
GPT-4.1 mini,cloud,massive,23,initial,test,eligible,release_revalidation_previously_seen,360,0.95,18,10,0.4111111111111111,0.4111111111111111,0.6916666666666667,0.5157010915197313,0.2722317034608193,0.5388852440799518,0.4181286549707602,0.4181286549707602,0.7280701754385965,0.5311940565699963,0.2827112862729476,0.5589729483082219
GPT-4.1 mini,cloud,massive,23,direct_hybrid,test,eligible,release_revalidation_previously_seen,360,1.0,0,11,0.3916666666666666,0.3916666666666666,0.6944444444444444,0.5008525149190112,0.1867847979207962,0.5043156804581499,0.3916666666666666,0.3916666666666666,0.6944444444444444,0.5008525149190112,0.1867847979207962,0.5043156804581499
GPT-4.1 mini,cloud,massive,23,direct_initial,test,eligible,release_revalidation_previously_seen,360,1.0,0,10,0.3694444444444444,0.3694444444444444,0.7055555555555556,0.4849554981337927,0.1744588713352364,0.481479964548216,0.3694444444444444,0.3694444444444444,0.7055555555555556,0.4849554981337927,0.1744588713352364,0.481479964548216
GPT-4.1 mini,cloud,massive,23,bertopic,test,eligible,release_revalidation_previously_seen,360,0.6944444444444444,110,14,0.5055555555555555,0.5166666666666667,0.6916666666666667,0.5914942528735632,0.2493896105647957,0.6097018161681717,0.672,0.688,0.884,0.7737811704834605,0.5777518663891138,0.8040213219568051
GPT-4.1 mini,cloud,massive,23,kmeans,test,eligible,release_revalidation_previously_seen,360,1.0,0,11,0.5277777777777778,0.5277777777777778,0.7722222222222223,0.6270180436847104,0.4000935294991513,0.6535300686168272,0.5277777777777778,0.5277777777777778,0.7722222222222223,0.6270180436847104,0.4000935294991513,0.6535300686168272
GPT-4.1 mini,cloud,massive,37,hybrid,test,eligible,release_revalidation_previously_seen,360,0.95,18,11,0.4083333333333333,0.4166666666666667,0.6944444444444444,0.5208333333333334,0.2915267209167775,0.5396756471618599,0.4210526315789473,0.4239766081871345,0.7309941520467836,0.5366792508697905,0.3033923126080337,0.5596092659238509
GPT-4.1 mini,cloud,massive,37,initial,test,eligible,release_revalidation_previously_seen,360,0.95,18,9,0.3833333333333333,0.3861111111111111,0.7388888888888889,0.5071879286694102,0.2785559077759623,0.532121944441329,0.391812865497076,0.391812865497076,0.7777777777777778,0.5211111111111111,0.2887822541875432,0.5521083224249479
GPT-4.1 mini,cloud,massive,37,direct_hybrid,test,eligible,release_revalidation_previously_seen,360,1.0,0,11,0.3333333333333333,0.3388888888888889,0.6583333333333333,0.4474466109563603,0.1545375437273821,0.4642825699143561,0.3333333333333333,0.3388888888888889,0.6583333333333333,0.4474466109563603,0.1545375437273821,0.4642825699143561
GPT-4.1 mini,cloud,massive,37,direct_initial,test,eligible,release_revalidation_previously_seen,360,1.0,0,9,0.3305555555555555,0.3305555555555555,0.6694444444444444,0.4425771604938271,0.1474686036749495,0.4575524413608512,0.3305555555555555,0.3305555555555555,0.6694444444444444,0.4425771604938271,0.1474686036749495,0.4575524413608512
